Carbonara, Wedding March, Air Mineral, Chicken Black Pepper
Matcha Latte, Vanilla Cookies, Red Velvet Latte, Cireng
Wedding March, Greenlight Fantasie
Air Mineral
Matcha Latte, Mix Platter, French Fries, Refreshing Red, Fur Elise, Vanilla Cookies, Mac & Cheese, Red Velvet Latte, Taco Salsa Sauce
Alla Turca, Cold White, Es Batu, Mix Platter
Vanilla Cookies, Red Velvet Latte, Greenlight Fantasie, Taco Salsa Sauce, French Fries, Mix Platter, Orange Crush, Refreshing Red, Air Mineral
Air Mineral, Wedding March, Alla Turca
Rivers Flow, Carbonara, Refreshing Red, Mix Platter, Greenlight Fantasie, Taco Salsa Sauce, Chicken Black Pepper
Mix Platter, Taco Salsa Sauce
Red Velvet Latte, Lychee Tea, Cireng
Choco Latte, French Fries, Wedding March, Taco Salsa Sauce
Air Mineral, Lemon Tea, Carbonara, Cireng
Air Mineral, Lemon Tea
Chicken Black Pepper, Vanilla Cookies, Rivers Flow
Choco Latte, Vanilla Cookies, Taco Salsa Sauce
Fur Elise, Greenlight Fantasie, Taco Salsa Sauce
Indomie Not Normal, Matcha Latte, Red Velvet Latte, Vanilla Cookies, Taco Salsa Sauce, Air Mineral, French Fries
Matcha Latte
Lemon Tea, Coffee - Manual Brew, Wedding March, French Fries
French Fries, Cireng, Carbonara, Nasi Goreng HongKong, Mix Platter, Lychee Tea, Rivers Flow
Lychee Tea
Nasi Goreng HongKong, Chicken Black Pepper
Greenlight Fantasie
Vanilla Cookies, Choco Latte
Vanilla Cookies, Nasi Goreng HongKong
Vanilla Cookies
Choco Latte
Fur Elise, Taco Salsa Sauce
Matcha Latte, Vanilla Cookies, French Fries
Nasi Goreng HongKong, Carbonara, Lychee Tea, Cold White, Es Batu, Lemon Tea, Cireng, French Fries, Wedding March, Fur Elise
Choco Latte, Refreshing Red, Lemon Tea, Lychee Tea, Taco Salsa Sauce, Nasi Goreng HongKong, Mac & Cheese, French Fries
Black Tea
Air Mineral, French Fries, Chicken Black Pepper, Matcha Latte, Rivers Flow
Rivers Flow, Mac & Cheese, Matcha Latte, Cold White, Es Batu, Cireng, Carbonara, Refreshing Red, French Fries
Berrybiscous, Wedding March
Air Mineral
Vanilla Cookies, Alla Turca, Taco Salsa Sauce
Greenlight Fantasie, Air Mineral, Nasi Goreng HongKong, Cireng, Mix Platter
Vanilla Cookies
Refreshing Red, Wedding March, Cold White, Fur Elise, Cold Black, Es Batu, Greenlight Fantasie, French Fries
Choco Latte, Cireng, French Fries, Greenlight Fantasie
Es Batu
Es Batu, Cold White, Air Mineral
Red Velvet Latte, Refreshing Red, Cireng
Wedding March, Vanilla Cookies, French Fries, Cireng, Chicken Black Pepper, Cold White, Es Batu
Lychee Tea, Cireng, Choco Latte
Indomie Not Normal
Red Velvet Latte, French Fries
Vanilla Cookies, Chicken Black Pepper, Air Mineral
Refreshing Red, Lychee Tea, Cireng
Rivers Flow, Black Tea, Red Velvet Latte, Coffee - Manual Brew, Indomie Not Normal, Mac & Cheese, Nasi Goreng HongKong
Refreshing Red
Indomie Not Normal
Vanilla Cookies, Carbonara, Matcha Latte, Choco Latte, French Fries
Choco Latte
Matcha Latte
Fur Elise, Refreshing Red, Cireng, Indomie Not Normal
Wedding March, French Fries
